==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=5
date & time of start is : 2024-11-27 11:06:31
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 12.703 M
   training starts!
[Epc 38] tt: 0.248, cl_st: 0.142, cl_wk: 0.170, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.045, t_vl: 1.049, t: 219s
[Epc 39] tt: 0.239, cl_st: 0.143, cl_wk: 0.151, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.110, t_vl: 1.126, t: 222s
[Epc 40] tt: 0.243, cl_st: 0.133, cl_wk: 0.174, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.168, t_vl: 1.117, t: 221s
[Epc 41] tt: 0.235, cl_st: 0.131, cl_wk: 0.164, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.053, t_vl: 1.148, t: 219s
[Epc 42] tt: 0.234, cl_st: 0.132, cl_wk: 0.159, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.082, t_vl: 1.163, t: 221s
[Epc 43] tt: 0.228, cl_st: 0.126, cl_wk: 0.154, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.078, t_vl: 1.194, t: 220s
[Epc 44] tt: 0.227, cl_st: 0.124, cl_wk: 0.156, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.206, t_vl: 1.171, t: 220s
[Epc 45] tt: 0.225, cl_st: 0.120, cl_wk: 0.162, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.193, t_vl: 1.160, t: 220s
[Epc 46] tt: 0.232, cl_st: 0.125, cl_wk: 0.165, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.141, t_vl: 1.233, t: 221s
[Epc 47] tt: 0.225, cl_st: 0.121, cl_wk: 0.157, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.203, t_vl: 1.208, t: 222s
[Epc 48] tt: 0.217, cl_st: 0.123, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.235, t_vl: 1.294, t: 222s
[Epc 49] tt: 0.224, cl_st: 0.124, cl_wk: 0.150, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.216, t_vl: 1.229, t: 220s
[Epc 50] tt: 0.214, cl_st: 0.119, cl_wk: 0.140, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.178, t_vl: 1.181, t: 220s
[Epc 51] tt: 0.215, cl_st: 0.120, cl_wk: 0.141, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.172, t_vl: 1.268, t: 220s
[Epc 52] tt: 0.222, cl_st: 0.117, cl_wk: 0.158, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.251, t_vl: 1.258, t: 222s
[Epc 53] tt: 0.212, cl_st: 0.116, cl_wk: 0.143, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.173, t_vl: 1.220, t: 224s
[Epc 54] tt: 0.208, cl_st: 0.117, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.204, t_vl: 1.253, t: 221s
[Epc 55] tt: 0.202, cl_st: 0.110, cl_wk: 0.133, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.250, t_vl: 1.299, t: 220s
[Epc 56] tt: 0.207, cl_st: 0.116, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.237, t_vl: 1.248, t: 222s
[Epc 57] tt: 0.197, cl_st: 0.109, cl_wk: 0.127, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.224, t_vl: 1.279, t: 223s
[Epc 58] tt: 0.207, cl_st: 0.118, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.266, t_vl: 1.286, t: 223s
[Epc 59] tt: 0.207, cl_st: 0.115, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.250, t_vl: 1.295, t: 221s
[Epc 60] tt: 0.211, cl_st: 0.116, cl_wk: 0.141, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.286, t_vl: 1.337, t: 222s
[Epc 61] tt: 0.197, cl_st: 0.112, cl_wk: 0.122, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.214, t_vl: 1.284, t: 224s
